Split,Method,Metric,Estimate,95% CI low,95% CI high,Valid bootstrap replicates
Validation,Random route,Feasible selected rate,0.5541666666666667,0.35,0.7625,2000
Validation,Minimum hop,Feasible selected rate,0.6166666666666667,0.3995833333333334,0.8166666666666667,2000
Validation,Minimum fibre loss,Feasible selected rate,0.6666666666666666,0.45,0.8833333333333333,2000
Validation,Maximum bottleneck success,Feasible selected rate,0.6166666666666667,0.4,0.8166666666666667,2000
Validation,Learned model,Feasible selected rate,0.6666666666666666,0.45,0.8666666666666667,2000
Validation,Oracle,Feasible selected rate,0.7166666666666667,0.4666666666666667,0.9333333333333333,2000
Validation,Random route,Mean regret,0.11999999999999998,0.07583333333333334,0.16416666666666666,2000
Validation,Minimum hop,Mean regret,0.06666666666666665,0.033333333333333326,0.11,2000
Validation,Minimum fibre loss,Mean regret,0.029999999999999995,0.01,0.05000000000000001,2000
Validation,Maximum bottleneck success,Mean regret,0.05,0.016666666666666666,0.08666666666666667,2000
Validation,Learned model,Mean regret,0.033333333333333326,0.013333333333333334,0.05333333333333334,2000
Validation,Oracle,Mean regret,0.0,0.0,0.0,2000
Validation,Random route,Mean selected success,0.5433333333333333,0.36166666666666664,0.7233333333333333,2000
Validation,Minimum hop,Mean selected success,0.5966666666666666,0.42333333333333345,0.76,2000
Validation,Minimum fibre loss,Mean selected success,0.6333333333333333,0.4466666666666667,0.8066666666666668,2000
Validation,Maximum bottleneck success,Mean selected success,0.6133333333333333,0.4233333333333333,0.7966666666666666,2000
Validation,Learned model,Mean selected success,0.63,0.45,0.8099999999999999,2000
Validation,Oracle,Mean selected success,0.6633333333333333,0.4900000000000001,0.83,2000
Validation,Random route,Tie-aware top-1 accuracy,0.5916666666666667,0.4625,0.7291666666666666,2000
Validation,Minimum hop,Tie-aware top-1 accuracy,0.7833333333333333,0.6666666666666666,0.8833333333333333,2000
Validation,Minimum fibre loss,Tie-aware top-1 accuracy,0.8666666666666667,0.7666666666666667,0.95,2000
Validation,Maximum bottleneck success,Tie-aware top-1 accuracy,0.8333333333333334,0.7166666666666667,0.9333333333333333,2000
Validation,Learned model,Tie-aware top-1 accuracy,0.85,0.75,0.9333333333333333,2000
Validation,Oracle,Tie-aware top-1 accuracy,1.0,1.0,1.0,2000
External test,Random route,Feasible selected rate,0.66875,0.5208333333333334,0.7916666666666666,2000
External test,Minimum hop,Feasible selected rate,0.7666666666666667,0.6083333333333333,0.8916666666666667,2000
External test,Minimum fibre loss,Feasible selected rate,0.775,0.6166666666666667,0.9,2000
External test,Maximum bottleneck success,Feasible selected rate,0.7416666666666667,0.5833333333333334,0.875,2000
External test,Learned model,Feasible selected rate,0.7666666666666667,0.6083333333333333,0.8916666666666667,2000
External test,Oracle,Feasible selected rate,0.8166666666666667,0.6583333333333333,0.9333333333333333,2000
External test,Random route,Mean regret,0.13083333333333333,0.08458333333333332,0.17959374999999994,2000
External test,Minimum hop,Mean regret,0.06833333333333333,0.041666666666666664,0.09833333333333334,2000
External test,Minimum fibre loss,Mean regret,0.07333333333333333,0.045000000000000005,0.10333333333333332,2000
External test,Maximum bottleneck success,Mean regret,0.07833333333333334,0.04,0.12333333333333334,2000
External test,Learned model,Mean regret,0.06999999999999999,0.04333333333333333,0.09833333333333333,2000
External test,Oracle,Mean regret,0.0,0.0,0.0,2000
External test,Random route,Mean selected success,0.6308333333333332,0.4970833333333334,0.7425104166666666,2000
External test,Minimum hop,Mean selected success,0.6933333333333332,0.5649583333333332,0.7967083333333332,2000
External test,Minimum fibre loss,Mean selected success,0.6883333333333332,0.5566249999999999,0.7966666666666666,2000
External test,Maximum bottleneck success,Mean selected success,0.6833333333333333,0.5416666666666666,0.8049999999999999,2000
External test,Learned model,Mean selected success,0.6916666666666667,0.56,0.7967083333333332,2000
External test,Oracle,Mean selected success,0.7616666666666667,0.625,0.8650000000000001,2000
External test,Random route,Tie-aware top-1 accuracy,0.6333333333333333,0.5229166666666667,0.7416666666666667,2000
External test,Minimum hop,Tie-aware top-1 accuracy,0.7166666666666667,0.6083333333333333,0.8168749999999988,2000
External test,Minimum fibre loss,Tie-aware top-1 accuracy,0.7,0.5833333333333334,0.8083333333333333,2000
External test,Maximum bottleneck success,Tie-aware top-1 accuracy,0.7666666666666667,0.6416666666666667,0.875,2000
External test,Learned model,Tie-aware top-1 accuracy,0.7,0.5833333333333334,0.8083333333333333,2000
External test,Oracle,Tie-aware top-1 accuracy,1.0,1.0,1.0,2000
